economy,item,unit,item_code_new,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01_AUS,8th_steel_production_projection,thousand tonnes,13_1_iron_and_steel,5327.894,5688.806,5493.0,5050.57126704686,5113.435542572583,5173.080750672271,5230.4577838177365,5286.4085612056715,5340.998657031919,5389.660962104972,5438.128743137784,5485.894847625581,5531.758416477672,5575.265028475261,5623.570447792521,5670.166932700493,5714.802004658148,5757.790598436975,5798.975630989067,5843.053782904748,5885.716600100581,5926.885798369446,5966.239511102838,6003.741170907257,6044.6939849919545,6085.049741838881,6124.772429042306,6163.9945267845105,6202.942416344183,6238.110818438869,6273.974701640756,6310.411357329629,6347.297705593686,6384.523532787514
01_AUS,8th_chemicals_production_projection,thousand tonnes,13_2_chemical_incl__petrochemical,1815.0,1819.387618530645,1822.1302407937476,1652.0834986338543,1666.2395699852652,1679.1301594497959,1690.8493658122452,1701.3812845005148,1711.0406635158502,1722.2156801078095,1732.4407294122527,1741.5913868187758,1749.8706914793377,1756.939032230294,1767.8743864185556,1777.6517405548182,1786.6902529423367,1794.8707873507092,1802.395188972298,1808.9324615912042,1814.790340977151,1819.851161020906,1824.31309337779,1827.850026072771,1832.3106770636102,1836.0618752908313,1839.0914623636422,1841.4891552128452,1843.2410323361355,1844.333068997458,1844.751137221465,1844.381902261555,1843.1149294465356,1840.843012308487
01_AUS,8th_aluminium_production_projection,thousand tonnes,13_3_nonferrous_metals,1450.0,1580.0,1600.0,1415.3478276588528,1410.5492710734961,1404.64370465462,1397.7363955582266,1389.8798036381127,1381.2100027490324,1371.480495033227,1360.9402732901258,1349.5438204479403,1337.3046835883295,1324.0832769011286,1321.132081742791,1317.4596466547225,1313.2056271815622,1308.3493022717876,1302.947264580232,1302.6587174486742,1301.9486564202573,1300.7880044970377,1299.2144114275256,1297.125579254371,1294.364326277437,1291.1774565573337,1287.5761094538102,1283.5921026256037,1279.2340434627918,1274.2526778937286,1268.933088139988,1263.2541721218604,1257.1820981472156,1250.68555633787
01_AUS,8th_cement_production_projection,thousand tonnes,13_4_nonmetallic_mineral_products,9304.987108694144,9454.790861212221,9595.516984513746,8818.300791342464,8963.603115343789,9105.38232869666,9244.807652354468,9382.808712399903,9519.81655509415,9650.478285057952,9781.17423970081,9911.272205634947,10039.573244057867,10165.089259689767,10310.792244035161,10454.478885088613,10596.360834124373,10736.621010365552,10875.268861150751,11006.471696772674,11136.007801620808,11263.660415866287,11389.203921100587,11512.132139278285,11627.363607540496,11741.255825171816,11853.809719781519,11965.264195719577,12075.86685928016,12180.818013255246,12285.998159941853,12391.191324505598,12496.098857847333,12600.44030810453
01_AUS,8th_transport_production_projection,GVA millions USD,13_5_transportation_equipment,7385.603306,7157.824375,7229.40261875,6618.112092150742,6707.307226349403,6797.624452022825,6889.077291487076,6981.679425295411,7075.444694050766,7170.387100238699,7266.520810080987,7363.860155410088,7462.4196355647655,7562.213919307003,7663.2578467605235,7765.566431371183,7869.154861889383,7974.038504374807,8080.23290422376,8187.753788219241,8296.617066604213,8406.838835178067,8518.43537741674,8631.42316661666,8745.81886806284,8861.639341221287,8978.901641956088,9097.623024771467,9217.820945078958,9339.51306149012,9462.717238135003,9587.451547006633,9713.734270331875,9841.583902968923
01_AUS,8th_machinery_production_projection,GVA millions USD,13_6_machinery,5441.552893,5424.943465,5479.19289965,5015.893386592158,5083.494732340575,5151.946515665302,5221.258985183289,5291.44250944007,5362.507578283468,5434.4648042527915,5507.324923983672,5581.09879962874,5655.797420294313,5731.4319034932405,5808.013496614113,5885.553578407053,5964.063660486192,6043.555388849072,6124.040545413166,6205.5310495696485,6288.038959754722,6371.576475038544,6456.155936732066,6541.789830011951,6628.490785563762,6716.271581243614,6805.145143758498,6895.124550365558,6986.223030590385,7078.453967964669,7171.8309017833835,7266.367528881675,7362.0777054317505,7458.97544875994
01_AUS,8th_mining_production_projection,GVA millions USD,13_7_mining_and_quarrying,67726.26413,69446.78438,69841.14726632205,57790.448902809505,60224.31622829845,60745.65608764109,61253.18291827882,61768.3893571404,62296.37368720543,62836.62134196811,63383.38566744073,63938.14368508169,64503.8623904687,65083.58725091823,65678.84611464741,66297.4828982821,66941.07660421876,67610.57834282737,68306.0241210755,69026.77416889649,69763.39999944618,70512.51766215946,71270.23343813077,72033.27908417267,72799.84440522113,73576.54922682866,74362.36365808273,75156.369403937,75957.57120701364,76764.58035594055,77566.99703468816,78361.87906358406,79146.55045090512,79919.27418775989
01_AUS,8th_food_beverage_tobacco_production_projection,GVA millions USD,13_8_food_beverages_and_tobacco,26516.33653,26876.34551,27145.1089651,24849.822780480317,25184.734496518897,25523.85946460021,25867.248458593487,26214.95284652017,26567.02459735953,26923.516287931034,27284.48110985423,27649.97287658707,28020.04603054359,28394.75565029161,28774.15745783152,29158.30782595719,29547.2637856996,29941.083033854262,30339.82394059347,30743.54555716403,31152.30762367196,31566.170576954348,31985.195558540017,32409.44442269969,32838.9797445867,33273.86482846921,33714.16371605487,34159.941194909414,34611.262806969455,35068.194857151175,35530.804422055866,35999.15935877293,36473.328313782105,36953.3807319556
01_AUS,8th_pulp_paper_production_projection,tonnes,13_9_pulp_paper_and_printing,3350156.892845706,3405670.596444638,3443359.942788105,3148690.1764559355,3210043.5931949285,3268414.753873951,3325681.0444541597,3384118.5491922917,3442545.266249815,3486656.3411979075,3533932.4663326438,3583450.407806613,3630219.01964391,3674029.7238483266,3747932.271733902,3820763.462140116,3889018.2438616036,3954103.3427112265,4013861.57268342,4062748.28813748,4105882.8152491376,4143251.862673905,4171837.9186240775,4193097.2922441084,4244367.554128579,4291548.47573209,4334282.361978325,4372243.403155665,4406239.521989894,4420522.711107593,4434660.715798542,4448762.795223634,4462947.035685025,4477394.458854534
01_AUS,8th_wood_production_projection,GVA millions USD,13_10_wood_and_wood_products,3622.802975,3565.397611,3601.0515871099997,3296.5604919140624,3340.9896510724593,3385.9777373648344,3431.531486417948,3477.6577126783877,3524.363310315395,3571.6552541338756,3619.5406004976944,3668.026488263372,3717.1201397243144,3766.828861565653,3817.160045829844,3868.121170893162,3919.719802453164,3971.9635945272757,4024.860290462628,4078.4177239572296,4132.643820092678,4187.546596378443,4243.134163807913,4299.414727926332,4356.396589910739,4414.088147662046,4472.497896909382,4531.634432326901,4591.506448663081,4652.122741882748,4713.492210321946,4775.623855855739,4838.526785079173,4902.210210501492
